title,url,company,description,city,requirements,experience
Junior Python Developer in Test (Apps),https://jobs.dou.ua/companies/ajax-systems/vacancies/219347/,Ajax Systems,"Ajax Systems — розробник і виробник систем безпеки Ajax із можливостями розумного дому. Це більше 50 пристроїв, мобільні та десктопні застосунки, серверна інфраструктура. У лінійці Ajax представлено централі керування із власною RTOS (OS Malevich), датчики руху, відчинення, захисту від затоплення та пожежні датчики, вуличні й домашні сирени, тривожна кнопка з функцією керування приладами, розумні розетки та реле.Кожного року ми демонструємо кратне зростання як у чисельності команди, так і в кількості користувачів у всьому світі. Виробництво Ajax Systems налічує два заводи, що розташовані в Україні. Також у нас три R&D-офіси: у Києві, Харкові та Вінниці. Локальні команди продажів є у Великобританії, Італії, Іспанії, Португалії, Німеччині, Польщі, Норвегії, Румунії, Туреччині, ОАЕ та ПАР.Датчики Ajax охороняють більше 1 000 000 користувачів у більш ніж 130 країнах світу. За розробку пристроїв у Ajax відповідає R&D-департамент, який складається з чотирьох команд: System, Devices, Automation та QA.Ajax — це екосистема, робота якої неможлива без якісних і зручних у користуванні застосунків. За роботу цієї частини світу Ajax відповідають мануальні тестувальники та команда автоматизації. В їх розпорядженні тільки що розроблений фреймворк, що дозволяє відтворити будь-яку ситуацію, уявну нашим QA. Тестування відбувається на платформах IOS/AOS за допомогою Appium.Чим технічно цікава вакансіяПроект активно розвивається, тому ви можете вплинути на його результат на старті. Сьогодні вже розроблена база, якої достатньо для написання основних тестів, але є велика зона неохоплених кейсів, для автоматизації яких треба розробляти новий функціонал фреймворку.Які стоять задачірозробка та впровадження автоматизованого тестування функціональності Ajax Apps за допомогою Python;робота з інфраструктурою CI на базі Jenkins;робота з низькорівневими бінарними протоколами;пошук та аналіз невідповідностей поведінки системи згідно з технічним завданням;cкладання баг-репорту та ведення життєвого циклу бага;Що шукаємо у кандидаті:технічний бекграунд;знання Python;досвід роботи з Appium/Selenium;досвід роботи з GIT;базові знання UNIX/Linux OS;розуміння складної серверної архітектури;знання ООП;Буде плюсом:досвід роботи з pytest;досвід роботи з gRPC;досвід роботи з протоколами TCP рівня;Ми пропонуємо:Cвободу приймати рішення та втілювати ідеїМожливість впливати на продукт і виробництво замість монотонного закриття задачРоботу у вмотивованій команді та zero bullshit cultureГнучкий графік в офісі Турботу та медичне страхуванняДолучайтеся, щоб зробити Made in Ukraine синонімом надійності.Ajax — свобода бути інженером!",Київ,"Python, gRPC, Git, Jenkins, pytest, Selenium",0-1
Junior Python Engineer,https://jobs.dou.ua/companies/reface/vacancies/273253/,Reface,"Reface шукає Junior Python EngineerЯкщо хочеш розробляти Gen AI продукти, якими користуються мільйони юзерів по всьому світу — ми нетерпляче чекаємо на твоє резюме!Про нас: Reface — українська продуктова компанія, що створює мобільні АІ-застосунки.За 5 років наші продукти завантажили понад 250М разів. Були № 1 в USA App Store, отримали Google Play’s Best App та залучили інвестиції від Andreessen Horowitz.Ми — AI-оптимісти. Віримо, що AI змінить світ на краще. Або знищить людство 🫠 А поки цього не сталося, ми хочемо, щоб AI-інновації якнайшвидше потрапляли з наукових лабораторій в смартфони мільйонів людей.У нас комфортно працювати і божевільним вченим, і творчим людям. Досліджуємо вдумливо, тестуємо хутко, деліверимо швидко. Кайфуємо від цього.Про тебе: • знаєш Python: розумієш основні концепції програмування на Python• знаєш бібліотеки PyTorch, TensorFlow• маєш досвід роботи з git: вмієш використовувати Git для контролю версій; маєш досвід роботи з віддаленими репозиторіями• маєш досвід роботи з Docker: вмієш створювати та використовувати Docker-контейнери для розгортання ML-продуктів• маєш досвід роботи із streamlit і gradio: вмієш створювати інтерфейси для демонстрації ML-моделей за допомогою Streamlit та Gradio• розумієш принципи роботи дифузійних моделей: принципи та застосування дифузійних моделей.Буде плюсом, а може і не одним: • досвід роботи із ComfyUIТи будеш: • створювати унікальні пайплайни для ML продуктів, комбінуючи різноманітні ML моделі в одному сервісі • деплоїти ‘демо’ версії для внутрішнього використання та тестування• підтримувати та розвивати створені пайплайни, забезпечуючи їх стабільну роботу та покращення• досліджувати і тестувати нові ML моделі для наших продуктів.Вакансія тобі не підійде, якщо: • не в Києві: шукаємо людину, яка готова ходити в наш офіс мрії на Контрактовій, принаймні двічі-тричі на тиждень• не готовий/-ва до швидкого та динамічного темпуТвоя майбутня команда: • займається розробкою фанових та утилітарних юзкейсів, що базуються на сучасних інструментах штучного інтелекту• основні задачі надходитимуть від наших контент-креаторів, також активно працюватимеш під менторством досвідчених розробників• тут, у Reface, особливий вайб, що надає сил челенджити себе. Неможливо пояснити, але ми спробували.Процес:✔️ тестове завдання → ✔️ технічне інтервʼю → ✔️ фінальне інтервʼю → ✔️ офферЗнайомся з нами: website: більше про компанію та наші продуктиInstagram: залаштунки життя RefaciansНе вагайся — надсилай резюме!",Київ,"Python, Git, Docker, TensorFlow, PyTorch",0-1
Math + Python Developer,https://jobs.dou.ua/companies/numerical-technologies-ltd/vacancies/253273/,Numerical Technologies,"Joining Numerical Technologies is a unique chance that provides the opportunity to work alongside experienced professionals on impactful, quantitative projects across North and South America, Europe, the Middle East, Africa, and South Asia. This position is a chance to work hand-in-hand with expert quantitative researchers and quantitative engineers to create and implement research and simulation tools that leverage existing automated trading software and sophisticated statistical techniques and technologies.Do you enjoy the process of problem-solving, a process where you recognize areas of improvement and iterate and innovate to improve? Does your curiosity and desire to learn drive you? If this sounds like you, don’t miss this opportunity to gain valuable experience in a highly competitive and demanding fintech industry.What will you be doing? ◼ Design, engineer and implement software-based trading analytics.◼ Work closely with and provide solutions for quantitative researchers.What are we looking for? ◼ Deep understanding of Applied Mathematics: Probability Theory and Statistics, Numerical Methods, Linear Algebra, Optimization.◼ Proficient in Python.◼ Bachelors, Master’s or PhD in Physics, Mathematics, Statistics; or equivalent experience (we also welcome students).◼ Excellent communication skills.◼ Willingness to learn together with a team of professionals;◼ Organized and detail-oriented, comfortable managing multiple work streams.◼ Intermediate and higher level of English.What additional skills will help you stand out? ◼ Experience in Machine Learning.◼ Knowledge of Algorithms and Data Structures, Interpolation methods, Regression models, Theory of Stochastic Processes, Cryptography.◼ Commercial experience as a Python Developer.We offer: ◼ Competitive compensation depending on experience and skills.◼ Regular assessments and salary reviews.◼ Paid personal days.◼ Health insurance.◼ English/Portuguese/Polish/Spanish classes.◼ Flexible working schedule.◼ Friendly team and enjoyable working environment.If you are comfortable with mathematical formulas and prepared to take a math test as part of the selection process, we would be pleased to receive your CV!",віддалено,"Python, Cryptography",0-1
Junior+ python developer,https://jobs.dou.ua/companies/evergreen/vacancies/270123/,Evergreen,"Компанія Evergreen в пошуках Junior python developer з вищою інженерно-технічною освітою, що має фінансовий бекграунд і непроти напряму спілкуватися з клієнтом.У твої обов’язки буде входите наступне:Виконання завдань підтримки та розвитку на проєкті Dobro.uaВиконання завдань підтримки та розвитку на проєкті ФінавтоматизаціяДопомога в роботах на продукті KwizbotСвоєчасний звітність по використаному часуВимоги:Комерційний досвід 1+ з Python (Flask, Django)Rest API, WebDatabases: PostgreSQL, MySQLSoftware development experience in team-based environments;Usege ChatGPT in developmentEnglish: read technical documentation required.Якщо ти готовий відправити резюме, заповни Skills assessments forms.gle/oPFRbzVMiFtm7DKH7 Ми непроти remote, але в ідеалі було б круто,якби ти зміг перший тижнень походити в офіс,щоб швидше адаптуватися.Буде+ :Socket.ioAiohttpДосвід з VueJS / ReactJS ;Досвід з Node.js (Express, Meteor, Sails, etc.)Chabot projects developmentРозуміння of AI/ML algorithms, NN libraries (PyTorch, TensorFlow), NLP libraries (Dialog Flow, Natural, etc.), LLMЕтапи інтервʼю :Skills assessments forms.gle/oPFRbzVMiFtm7DKH7 ➡️ Інтерв’ю з рекрутером ➡️ Інтерв’ю із керівником+тестове ➡️Offer Letter 🥳Хто ми? Evergreen — продуктово-сервісна компанія, що спеціалізується на розробці та постачанні своїх ІТ-продуктів найбільшим компаніям України та світу. Ми створюємо видатні результати для бізнесу.Наші продукти: Kwizbot, Модульна система Face IDentification, Live Stream E-commerce Наша місія: Розвиваємо класні, інноваційні, селф-кастомізовані ІТ-продукти, які гнучко адаптуються під кейси клієнта для отримання видатного результату для бізнесу клієнта.Працюючи з нами, ти отримаєш: Швидкий професійний ріст: залучення зовнішніх менторів, відповідальність за процеси, роботу з ТОП клієнтами України та світу, міжнародними та закордонними компаніями.Турботу про здоров’я: медична допомога в екстрених випадках, лекції про ментальне і фізичне здоровʼя.Ефективне робоче середовище: крута команда, що розвиває продукти в найсучасніших нішах, здорова ієрархія, відсутність бюрократії, стратегії розвитку, які складають самі відділи.Працюй, там де тобі зручно: в найкращому коворкінгу країни Creative States або віддалено.Приєднуйтесь до нас та станьте частиною історії успіху Evergreenteam!Company page on DOU: jobs.dou.ua/companies/evergreen Linkedin: https://www.linkedin.com/company/evergreen-it-development-support-&-service/ Facebook: www.facebook.com/evergreens.com.ua","Київ, за кордоном, віддалено","Python, SQL, Django, Flask, PostgreSQL, MySQL, React, REST API, TensorFlow, PyTorch, HTTPS",0-1
Junior Python Engineer [Computer Vision],https://jobs.dou.ua/companies/walkout-technologies/vacancies/272909/,Walkout Technologies,"Job description:Develop state-of-the-art classical and machine learning algorithms for the Walkout Technology products. We are looking for engineers with different levels of expertise: talented students and experienced seniors are both welcome to join our team that brings futuristic computer vision technologies for today’s retail.Requirements:Strong Python programming skillsIntermediate level of EnglishTo have experience in SOME of the topics would be a PLUS:Pytorch or TensorflowExperience in classic computer vision, OpenCV, video streamingNode.js, javascript, socketioLinux, bash, gitAchievements in science competitions",Київ,"Python, JavaScript, Git, TensorFlow, PyTorch, OpenCV",0-1
Trainee Python Developer,https://jobs.dou.ua/companies/newsoft/vacancies/272310/,Newsoft,"Newsoft is looking for a Trainee Python Developer with an understanding of JavaScript to join our team. In addition to external projects, we are actively engaged in the development of our internal systems. We have created our own system that sets a new standard for interaction between employees and management, ensuring clarity and understanding of all company processes. This role includes the responsibility of enhancing the system with innovative solutions, developing new features, and providing support for existing ones.Requirements:▪️6+ months of software development experience (commercial experience or own projects).▪️Solid knowledge of Python.▪️Understanding of RESTful APIs.▪️Proficiency in at least one of the Python frameworks (Django, FastAPI, Flask).▪️Experience working with relational databases (PostgreSQL, MySQL).▪️Experience of working with Git.▪️Understanding of SOLID principles.▪️Strong knowledge of HTML/CSS.▪️Knowledge of TypeScript or JavaScript.▪️Understanding of React (experience will be an advantage).▪️Upper-intermediate level of English.Nice-to-Have Skills: ▪️Familiarity with Docker.▪️Experience working with AWS or other cloud service providers.Interview stages: ▪️HR interview (30 minutes).▪️Technical interview (1 hour).▪️Job offer🎉🎉🎉We offer:▪️ Competitive salary + bonuses.▪️ Challenging tasks and projects.▪️ Opportunities for professional development and growth.▪️ Flexible working hours.▪️ New hardware.▪️ Free English lessons.▪️ Availability of generators and Starlinks in the office.▪️ Small gym and table tennis in the office.▪️ Adjustable height tables.▪️ Regular office fruit delivery and other benefits.Let’s create value together!",Львів,"Python, SQL, JavaScript, HTML, CSS, Django, Flask, FastAPI, PostgreSQL, MySQL, React, Git, Docker, AWS",0-1
Junior Data Engineer,https://jobs.dou.ua/companies/honeycomb-software/vacancies/271168/,Honeycomb Software,"We are looking for a Junior Data Engineer to join our team focusing on data pipeline development. You will work on scheduled processes and databases that manage streaming IoT and ML data. Your efforts will contribute to generating insights and data aggregations for NFT minting and supporting projects like EnerGPT and finance service. Project description: Our customer is dedicated to helping oil and gas companies produce clean energy profitably. By leveraging AI and Computer Vision, they automate Health, Safety, and Environment (HSE), Environmental, Social, and Governance (ESG), and operational processes. = Technical stack: Python, Airflow, Computer Vision, IoT sensory data, Docker, AWS Aurora, AWS RDS, Lambda, MSK Kafka, Streamlit, Gitlab, Pandas, Matplotlib, and Plotly. What you’ll need: Understanding core principles of data engineering, including data modeling, data warehousing, and data integration techniques Experience with ETL (Extract, Transform, Load) and ELT (Extract, Load, Transform) processes Familiarity with building and maintaining data pipelines Knowledge of HTTP methods and RESTful APIs Understanding of webhooks for real-time data updates Experience with multithreading for performance optimization Ability to write and execute unit tests Good English and strong soft skills Nice-to-have skills: Previous experience in a startup environment Familiarity with Terraform for infrastructure as code A degree in Computer Science or a related field is preferred What you’ll be doing: Develop and maintain data pipelines using Python and Apache Airflow Implement ETL/ELT processes Manage and optimize databases, including AWS S3 and PostgreSQL Develop and consume REST APIs using FastAPI Perform data processing and analysis with SQL queries Collaborate with team members to ensure data integrity and efficient workflows WE OFFER:Opportunity for professional growth and development Challenging and interesting work environment with team members based in Ukraine, Poland, the USA, etc. You will have the option to work either from our office or remotely If you are passionate about data engineering and excited to work with cutting-edge technologies in a dynamic environment, we would love to hear from you!",Вроцлав (Польща),"Python, SQL, FastAPI, PostgreSQL, REST API, Git, GitLab, Docker, AWS, Terraform, Pandas, Matplotlib, Plotly, Threading",0-1
Python Developer,https://jobs.dou.ua/companies/canyon-development/vacancies/271680/,Canyon Development,"Canyon Development запрошує Python-розробника приєднатися до нашої команди. Ми спеціалізуємося на розробці електронних пристроїв та друкованих плат. За нашими плечима понад 100 успішних проєктів середньої та високої складності для міжнародних клієнтів. Робота над проєктами починається з ідеї клієнта і завершується прототипом або запуском виробничої лінії.Вакансія передбачає роботу в офісі міста Дніпро. Наша команда складається з досвідчених інженерів, які підтримують новачків та діляться своїми унікальними знаннями. У нас робота не буде монотонною, ви будете вирішувати задачі різної складності в різноманітних проєктах.Необхідні знання та навички для цієї вакансії:вища або професійна технічна освіта,1+ років досвіду Python development,досвід роботи з операційною системою Linux на рівні досвідченого користувача, досвід роботи з git, робота з базами даних (SQL, noSQL).Буде плюсом досвід роботи:досвід розробки Python Backend у desktop GUI applications, web applications, mobile,Linux: знання конфігурації systemd, робота з файловою системою, мережевими інтерфейсами,deployment Python-додатків на пристроях під управлінням Linux (Raspberry Pi, BeagleBone),багатозадачність (multithreading), docker.Обов’язки:створення архітектури: приєднуйтесь до команди для проєктування архітектури Python-додатків, де ваші ідеї втілюватимуться в реальність.розв’язання цікавих задач: застосовуйте свої знання Python для розв’язання різноманітних проєктних задач, кожна з яких є унікальним викликом.оптимізація коду: займайтеся рефакторингом коду, підвищуючи його ефективність та читабельність.оцінка якості: беріть участь у code review, допомагаючи підтримувати високі стандарти якості коду в нашій команді.Ми пропонуємо:участь у цікавих та складних проєктах,командну роботу в системі с досвідченими розробниками,просторий офіс в центрі міста з генератором та безпечним бомбосховищем, два провайдери (оптоволокно) та допоміжний канал Starlink,компенсацію відпустки,гнучкий робочий графік,власний спортзал, клубні шахи та англійська.Чекаємо на ваші резюме та питання по вакансії.",Дніпро,"Python, SQL, Git, Docker, Threading",0-1
Full Stack Python/React Developer,https://jobs.dou.ua/companies/uvik-software/vacancies/226708/,Uvik Software,"We’re looking for an experienced 🟢 Full stack developer 🟢 who specializes in Python and Reactjs and is excited to engineer highly performant, mission-critical systems that are designed for agile development and rapid scaling.Our tech stack includes: Python, Typescript, ReactJS, Redux, Django, App Engine, Cloud Firestore, Memcache, Cloud Tasks, Firebase, BigQuery, Elasticsearch, and more.🧩 Required skills:At least 3 years of experience in software development.Knowledge of the principles of object-oriented programming and structured programming.At least 3 years of Python development experience, ability to work with major Python libraries and frameworks.Experience in creating and maintaining web services and APIs.At least 2 years of experience with React.Deep knowledge of JavaScript.Experience developing React components and using core libraries such as Redux and React Router.Experience with version control systems such as Git.🪀What You will do: Design, develop, test, deploy, maintain and improvesoftware with a strong focus on customer-facing features🍀 We offer: 12 sick leaves and 18 paid vacation business days per year;Comfortable work conditions (including MacBook Pro and Dell monitor on each work place);Smart environment — interesting projects from renowned clients;Flexible work schedule;Write to us in Telegram","Чернівці, Івано-Франківськ, віддалено","Python, JavaScript, Django, Elasticsearch, React, Git, Firebase",1-3
Junior Strong Full Stack Developer (Python + Vue.js),https://jobs.dou.ua/companies/binariks/vacancies/273955/,Binariks,"Binariks is looking for a talented Junior Strong Full Stack Engineer (Python +Vue.js) who will be a part of a full-stack creative team that is responsible for all aspects of the ongoing software development.About: Our client provides digital care management software designed to simplify the management of care services. The platform allows for real-time recording, planning, and coordination of care, secure and accurate note-taking for better decision-making, personalization of care plans, and effective collaboration among care teams. They aim to improve outcomes by offering a comprehensive solution for better care delivery, aligning technology to meet the unique needs of care services, and enhancing productivity and care quality. What We’re Looking For:2+ years of hands-on experience with PythonExperience with Vue.jsStrong understanding of PostgreSQL/DynamoDBUnderstanding of Semaphore (CI)Proficient in using code version management tools like GitProactive, approachable, and open-minded individualUpper-Intermediate level of EnglishYour Responsibilities:Product development with a team of professionalsContribution in all phases of the development lifecycleWorking with new technologies and best practicesWill be a plus:Experience with AWS Lambdas, AWS ServerlessExperience with CD/CIExperience with Heroku (for testing/staging)Experience in the Healthcare IndustryWe provide the following for our employees:18 working days of paid vacation10 working days of sick leave annually (5 days paid at 100% and 5 days at 75% rate of your average monthly salary)50% cost compensation for English coursesFlexible work scheduleAdditional days off for special occasions, national holidays offA competitive and rewarding salary based on performance appraisals/knowledge evaluationPossibility to share and gain knowledge on regular tech talksFriendly and professional teamInnovative projects with advanced technologiesRemote workAccounting service",віддалено,"Python, SQL, PostgreSQL, Vue.js, Git, AWS, Heroku",1-3
